idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
251,2001.0,Kareem McKenzie,OT,Penn State,328.0,5.33,33.0,20.0,104.0,7.87,4.8,78.0,False
252,2001.0,Quentin McCord,WR,Kentucky,191.0,4.48,36.5,,112.0,7.17,4.18,70.0,False
253,2001.0,Justin McCareins,WR,Northern Illinois,209.0,4.51,41.0,,129.0,7.06,3.99,74.0,False
254,2001.0,Deuce McAllister,RB,Mississippi,222.0,4.41,,,,,,73.0,True
255,2001.0,David Martin,WR,Tennessee,242.0,4.76,,,,,,76.0,False
256,2001.0,Brandon Manumaleuna,TE,Arizona,275.0,4.99,30.0,,106.0,7.49,4.26,74.0,False
257,2001.0,Travis Minor,RB,Florida State,197.0,4.44,32.0,9.0,115.0,,,70.0,False
258,2001.0,Freddie Mitchell,WR,UCLA,185.0,4.46,39.5,,120.0,6.95,4.06,71.0,False
259,2001.0,Dominic Raiola,C,Nebraska,307.0,5.13,33.0,29.0,108.0,7.55,4.35,74.0,False
260,2001.0,Casey Rabach,C,Wisconsin,298.0,5.23,,19.0,,,,76.0,False
261,2001.0,Ryan Prince,TE,Weber State,257.0,4.99,31.0,20.0,102.0,7.65,4.45,76.0,False
262,2001.0,Nate Poole,WR,Marshall,198.0,4.79,32.5,,112.0,7.26,4.22,73.0,False
